@relation scenarioA_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32}

@data
0.46803,0.4517,5
0.31073,0.32535,23
0.57121,0.21704,10
0.34267,0.2468,32
0.2048,0.653,6
0.23141,0.51301,12
0.46742,0.45434,5
0.95282,0.77158,18
0.31059,0.32519,23
0.72842,0.30633,31
0.035449,0.35182,28
0.56853,0.37382,0
0.15788,0.13817,22
0.90002,0.34399,9
0.33891,0.24213,32
0.46784,0.45215,5
0.57309,0.22417,10
0.21113,0.64831,6
0.31055,0.3257,23
0.2368,0.51254,12
0.95201,0.77026,18
0.72823,0.30715,31
0.34005,0.24395,32
0.31053,0.32537,23
0.46651,0.45377,5
0.57588,0.63918,0
0.57803,0.21736,10
0.89961,0.34392,9
0.036292,0.35134,28
0.20302,0.65134,6
0.1625,0.13684,22
0.13192,0.80661,29
0.31058,0.32562,23
0.23739,0.50851,12
0.51818,0.3848,14
0.46163,0.81776,20
0.34094,0.24407,32
0.46595,0.45305,5
0.14979,0.44634,24
0.56129,0.20359,10
0.20347,0.65526,6
0.1166,0.95564,15
0.95189,0.77105,18
0.10065,0.40206,16
0.25412,0.21708,4
0.729,0.30551,31
0.16004,0.48645,1
0.31062,0.32542,23
0.66729,0.11491,0
0.89963,0.34407,9
0.19532,0.90589,11
0.030892,0.34825,28
0.23642,0.50384,12
0.011752,0.83267,19
0.3363,0.24827,32
0.39636,0.17352,25
0.46803,0.45236,5
0.58491,0.21358,10
0.15308,0.4637,17
0.31085,0.32545,23
0.15675,0.13696,22
0.21166,0.65059,6
0.95512,0.77174,18
0.46684,0.45231,5
0.8998,0.34371,9
0.3105,0.32563,23
0.34753,0.24489,32
0.73056,0.30547,31
0.23505,0.5064,12
0.57805,0.20225,10
0.20894,0.66092,6
0.46668,0.45422,5
0.033969,0.34938,28
0.27671,0.92289,0
0.31058,0.32538,23
0.15895,0.13697,22
0.34956,0.24468,32
0.95442,0.77271,18
0.89972,0.3436,9
0.46773,0.45264,5
0.56504,0.21303,10
0.13185,0.80946,29
0.23017,0.51058,12
0.31058,0.32526,23
0.7299,0.30528,31
0.20107,0.66622,6
0.51775,0.38627,14
0.46267,0.81539,20
0.33989,0.24091,32
0.46558,0.45265,5
0.023317,0.40145,0
0.1496,0.44648,24
0.030402,0.35097,28
0.31057,0.32578,23
0.89914,0.34437,9
0.57099,0.20736,10
0.17277,0.13358,22
0.21172,0.65736,6
0.94802,0.76415,18
0.11546,0.95636,15
0.23475,0.50791,12
0.26313,0.21877,4
0.4676,0.45428,5
0.16026,0.48638,1
0.099959,0.39934,16
0.34386,0.24219,32
0.31067,0.32541,23
0.72852,0.30674,31
0.46847,0.45595,5
0.56479,0.2078,10
0.89976,0.34341,9
0.011012,0.83263,19
0.19487,0.90612,11
0.31084,0.32519,23
0.20545,0.67226,6
0.032732,0.34811,28
0.34132,0.24427,32
0.15302,0.46349,17
0.5034,0.015542,0
0.23296,0.51012,12
0.95686,0.77683,18
0.1583,0.14107,22
0.4666,0.45493,5
0.39641,0.1737,25
0.5694,0.2185,10
0.31053,0.32555,23
0.72862,0.30753,31
0.89918,0.34405,9
0.22101,0.6555,6
0.1313,0.80978,29
0.34227,0.23821,32
0.46919,0.45404,5
0.31073,0.32539,23
0.23319,0.50731,12
0.95491,0.76885,18
0.032574,0.34678,28
0.56094,0.21912,10
0.16513,0.14035,22
0.60229,0.055763,0
0.51776,0.39118,14
0.19508,0.65577,6
0.46014,0.81167,20
0.31055,0.32503,23
0.34237,0.24692,32
0.72964,0.30512,31
0.46909,0.45309,5
0.14912,0.44705,24
0.89993,0.3444,9
0.56722,0.21623,10
0.23449,0.50895,12
0.31069,0.32551,23
0.46647,0.45316,5
0.034144,0.35284,28
0.95551,0.76856,18
0.33903,0.25092,32
0.20077,0.64324,6
0.25249,0.21991,4
0.11551,0.95635,15
0.89877,0.34517,0
0.14985,0.12352,22
0.16029,0.48647,1
0.10026,0.39801,16
0.46668,0.45467,5
0.55928,0.21391,10
0.31048,0.32557,23
0.73026,0.30668,31
0.89956,0.34361,9
0.34117,0.24355,32
0.23395,0.50531,12
0.19521,0.90579,11
0.46832,0.45513,5
0.18985,0.6625,6
0.31092,0.32555,23
0.95296,0.76973,18
0.13173,0.80875,29
0.011012,0.83357,19
0.56696,0.21457,10
0.032007,0.34879,28
0.27233,0.59469,0
0.15812,0.13909,22
0.33643,0.24915,32
0.15324,0.4638,17
0.31056,0.32545,23
0.46947,0.45364,5
0.2385,0.514,12
0.72974,0.30543,31
0.20404,0.65541,6
0.39643,0.17361,25
0.57737,0.22363,10
0.89943,0.34384,9
0.51799,0.38618,14
0.46811,0.81071,20
0.94973,0.77139,18
0.31052,0.32558,23
0.34639,0.25325,32
0.46906,0.45328,5
0.038669,0.34721,28
0.14973,0.44651,24
0.63728,0.74755,0
0.19944,0.65714,6
0.31057,0.32534,23
0.23765,0.50358,12
0.57263,0.22143,10
0.15512,0.12529,22
0.7299,0.30668,31
0.34315,0.2444,32
0.46831,0.45175,5
0.8993,0.34382,9
0.31048,0.32528,23
0.9548,0.77187,18
0.2104,0.66396,6
0.5686,0.21236,10
0.25913,0.22021,4
0.19511,0.10994,0
0.03381,0.3531,28
0.095033,0.39864,16
0.16035,0.48641,1
0.34394,0.2445,32
0.46769,0.4547,5
0.23862,0.5128,12
0.13259,0.80783,29
0.31077,0.32543,23
0.11581,0.95516,15
0.72945,0.30526,31
0.46723,0.45486,5
0.14501,0.14104,22
0.31069,0.32525,23
0.89993,0.34365,9
0.58423,0.21406,10
0.2067,0.66139,6
0.19541,0.90625,11
0.34138,0.24293,32
0.95217,0.76855,18
0.59128,0.13573,0
0.24063,0.50991,12
0.029454,0.35427,28
0.0092119,0.83159,19
0.31078,0.32584,23
0.72936,0.30526,31
0.46849,0.45312,5
0.57968,0.20787,10
0.34525,0.24527,32
0.19657,0.63776,6
0.51372,0.38848,14
0.46912,0.81188,20
0.1529,0.46347,17
0.15675,0.14115,22
0.31067,0.32568,23
0.90006,0.34389,9
0.94695,0.76994,18
0.14822,0.44653,24
0.46913,0.45316,5
0.39644,0.1736,25
0.78663,0.74751,0
0.23753,0.50895,12
0.58482,0.20632,10
0.034861,0.3545,28
0.34644,0.25386,32
0.72887,0.30819,31
0.31073,0.3253,23
0.204,0.65628,6
0.46796,0.455,5
0.13322,0.80839,29
0.31063,0.32528,23
0.33912,0.24314,32
0.95756,0.76667,18
0.55787,0.22541,10
0.15564,0.13796,22
0.23754,0.50329,12
0.46954,0.45469,5
0.89932,0.34343,9
0.22685,0.64406,6
0.10788,0.39577,16
0.31068,0.32598,23
0.25857,0.22188,4
0.72894,0.30788,31
0.1602,0.48658,1
0.13179,0.70182,0
0.030373,0.35425,28
0.46956,0.45237,5
0.34232,0.2487,32
0.57506,0.21787,10
0.3108,0.32535,23
0.11587,0.95614,15
0.23538,0.50721,12
0.20202,0.65167,6
0.9499,0.77113,18
0.19554,0.90619,11
0.8998,0.34428,9
0.3106,0.32533,23
0.15233,0.15082,22
0.46913,0.45401,5
0.34162,0.24498,32
0.72781,0.30675,31
0.45582,0.82413,20
0.56558,0.2143,10
0.51378,0.38267,14
0.037956,0.34843,28
0.15761,0.049175,0
0.22101,0.66149,6
0.31065,0.32506,23
0.009716,0.83178,19
0.23915,0.5052,12
0.14907,0.4463,24
0.46699,0.45491,5
0.95298,0.76978,18
0.35185,0.25492,32
0.3107,0.32592,23
0.89987,0.3438,9
0.579,0.21943,10
0.13182,0.80974,29
0.15306,0.46353,17
0.20109,0.6604,6
0.15922,0.13393,22
0.73052,0.30491,31
0.467,0.45378,5
0.23284,0.50704,12
0.035366,0.34572,28
0.31077,0.32502,23
0.39673,0.1736,25
0.62172,0.65794,0
0.34212,0.24272,32
0.89979,0.34453,9
0.95143,0.76497,18
0.58394,0.21072,10
0.20973,0.66912,6
0.31051,0.32565,23
0.10072,0.39743,16
0.46905,0.45252,5
0.26239,0.21474,4
0.16017,0.48635,1
0.34022,0.24249,32
0.23902,0.50178,12
0.15652,0.1389,22
0.31046,0.32527,23
0.73063,0.30446,31
0.57575,0.20919,10
0.0376,0.34656,28
0.11607,0.9556,15
0.20851,0.66181,6
0.46734,0.45514,5
0.62433,0.93218,0
0.95354,0.76784,18
0.89962,0.34369,9
0.31052,0.32506,23
0.19501,0.90657,11
0.4569,0.82932,20
0.34507,0.24845,32
0.51646,0.38425,14
0.23435,0.5083,12
0.46762,0.45428,5
0.57848,0.21982,10
0.20306,0.66259,6
0.14875,0.44691,24
0.31059,0.32569,23
0.1477,0.13966,22
0.72871,0.30642,31
0.89969,0.34387,9
0.1306,0.80832,29
0.037753,0.35257,28
0.34745,0.24467,32
0.64269,1.1047,0
0.95743,0.76857,18
0.0099753,0.83389,19
0.46827,0.45248,5
0.23676,0.5038,12
0.3108,0.32566,23
0.57818,0.21312,10
0.20797,0.64805,6
0.46735,0.45267,5
0.89975,0.34421,9
0.33729,0.24912,32
0.31048,0.3253,23
0.15316,0.46377,17
0.029873,0.35259,28
0.16421,0.14433,22
0.46867,0.45446,5
0.57259,0.21792,10
0.72862,0.30624,31
0.95071,0.76544,18
0.23631,0.50804,12
0.31062,0.32554,23
0.21144,0.66352,6
0.3456,0.2474,32
0.24214,0.59357,0
0.39644,0.17351,25
0.10467,0.39538,16
0.2546,0.22405,4
0.15993,0.48638,1
0.89927,0.34394,9
0.46909,0.4526,5
0.58437,0.21234,10
0.31077,0.32522,23
0.34171,0.24142,32
0.03346,0.35221,28
0.23098,0.5127,12
0.4666,0.81542,20
0.20642,0.65944,6
0.95274,0.76854,18
0.16163,0.14035,22
0.52031,0.38431,14
0.31059,0.32552,23
0.11631,0.95525,15
0.12926,0.80899,29
0.72854,0.30593,31
0.46812,0.45198,5
0.19534,0.90581,11
0.52191,0.29179,0
0.56279,0.21691,10
0.14867,0.44685,24
0.34355,0.23251,32
0.31075,0.32547,23
0.89946,0.34428,9
0.20347,0.66679,6
0.46878,0.45424,5
0.23514,0.50539,12
0.95517,0.76684,18
0.034368,0.35717,28
0.31059,0.32544,23
0.57533,0.21666,10
0.18046,0.14426,22
0.34346,0.24279,32
0.72979,0.30775,31
0.46692,0.45341,5
0.10513,0.097866,0
0.31076,0.32557,23
0.0096814,0.83366,19
0.20573,0.65722,6
0.89963,0.34403,9
0.23191,0.51257,12
0.56951,0.21354,10
0.46917,0.45339,5
0.33575,0.24234,32
0.3105,0.32491,23
0.9541,0.77019,18
0.0384,0.35362,28
0.15321,0.46343,17
0.10114,0.39847,16
0.46668,0.45456,5
0.18599,0.65178,6
0.16551,0.13501,22
0.31089,0.32535,23
0.72925,0.30654,31
0.89896,0.34385,9
0.25851,0.21704,4
0.16016,0.48639,1
0.037616,0.18231,0
0.3412,0.24351,32
0.45454,0.81979,20
0.13227,0.80871,29
0.56973,0.23134,10
0.23588,0.50776,12
0.39663,0.17329,25
0.4664,0.45259,5
0.52083,0.38507,14
0.31054,0.32533,23
0.95228,0.76968,18
0.11563,0.95554,15
0.20416,0.65679,6
0.033938,0.35425,28
0.3455,0.25781,32
0.14889,0.4458,24
0.58743,0.20951,10
0.46868,0.45258,5
0.31061,0.32573,23
0.72946,0.30516,31
0.19566,0.90618,11
0.23149,0.51419,12
0.16469,0.1379,22
0.89976,0.34363,9
0.61254,0.081518,0
0.46722,0.45197,5
0.31053,0.32505,23
0.2032,0.65596,6
0.34121,0.24485,32
0.95627,0.76521,18
0.58194,0.21961,10
0.038489,0.35861,28
0.2351,0.5051,12
0.31069,0.32563,23
0.73013,0.30544,31
0.46919,0.45345,5
0.011075,0.83292,19
0.34154,0.24442,32
0.19653,0.65592,6
0.57192,0.21644,10
0.89952,0.34362,9
0.31049,0.3254,23
0.94941,0.98875,0
0.1629,0.12776,22
0.95254,0.77093,18
0.46715,0.45484,5
0.1329,0.80862,29
0.23497,0.50834,12
0.09976,0.39763,16
0.31081,0.32527,23
0.46788,0.81387,20
0.3516,0.24751,32
0.035101,0.35657,28
0.20527,0.66482,6
0.57342,0.20334,10
0.89942,0.34407,9
0.46698,0.4519,5
0.25614,0.2165,4
0.52101,0.39037,14
0.16033,0.48632,1
0.7286,0.30572,31
0.15298,0.46341,17
0.31053,0.32579,23
0.46942,0.45364,5
0.95303,0.76935,18
0.15827,0.13829,22
0.74503,0.59031,0
0.34275,0.24266,32
0.14942,0.44587,24
0.23724,0.51078,12
0.11551,0.95512,15
0.39642,0.17354,25
0.31055,0.32537,23
0.20824,0.66189,6
0.59573,0.20776,10
0.031284,0.35111,28
0.46782,0.45172,5
0.73072,0.30703,31
0.31052,0.32565,23
0.19558,0.90603,11
0.34078,0.25294,32
0.89914,0.34374,9
0.46841,0.45262,5
0.94695,0.771,18
0.23966,0.5111,12
0.5858,0.23005,10
0.20507,0.65752,6
0.16161,0.13656,22
0.31057,0.32579,23
0.34597,0.022492,0
0.34164,0.24457,32
0.89984,0.34449,9
0.13131,0.80988,29
0.039703,0.34871,28
0.57778,0.21409,10
0.46613,0.45264,5
0.72883,0.30592,31
0.31064,0.3255,23
0.19359,0.65433,6
0.23403,0.50592,12
0.95246,0.7696,18
0.46293,0.81102,20
0.34499,0.24577,32
0.46732,0.4545,5
0.012007,0.83186,19
0.52029,0.38392,14
0.31049,0.32577,23
0.10036,0.39723,16
0.16254,0.14035,22
0.53639,0.30697,0
0.57105,0.22046,10
0.2032,0.6519,6
0.89959,0.3436,9
0.26164,0.22041,4
0.23812,0.50376,12
0.46728,0.4528,5
0.16022,0.48639,1
0.73001,0.30692,31
0.036633,0.34808,28
0.33716,0.24925,32
0.31064,0.32509,23
0.14858,0.44592,24
0.95221,0.77061,18
0.57527,0.21729,10
0.15333,0.46368,17
