@relation scenarioA_data_2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}

@data
0.060278,0.79879,7
0.34478,0.20633,20
0.51102,0.091397,11
0.60834,0.325,4
0.84082,0.066007,8
0.85845,0.068962,28
0.63791,0.55768,12
0.26655,0.95236,10
0.77313,0.55425,16
0.3368,0.19651,20
0.50833,0.089898,11
0.073872,0.80215,7
0.89358,0.80762,15
0.61608,0.32504,4
0.24657,0.83908,33
0.84261,0.85529,21
0.11767,0.27863,32
0.60501,0.32377,4
0.85359,0.68445,13
0.34516,0.19338,20
0.85784,0.067731,28
0.064054,0.80457,7
0.041268,0.91317,23
0.26725,0.95303,10
0.50979,0.089273,11
0.83908,0.064206,8
0.27896,0.95531,25
0.42665,0.20645,30
0.5977,0.33063,4
0.76513,0.5623,16
0.34138,0.90531,36
0.84678,0.60309,38
0.35068,0.1964,20
0.89415,0.80864,15
0.28715,0.0076609,24
0.067673,0.80258,7
0.26707,0.95256,10
0.62582,0.55849,12
0.84291,0.85445,21
0.50885,0.086101,11
0.62883,0.33464,4
0.12193,0.28395,32
0.34527,0.19294,20
0.24139,0.83682,33
0.8408,0.066388,8
0.85496,0.68726,13
0.064989,0.80409,7
0.77121,0.55151,16
0.50604,0.089076,11
0.34504,0.1976,20
0.26652,0.95257,10
0.6339,0.32911,4
0.83962,0.065595,8
0.85715,0.068037,28
0.89311,0.80737,15
0.27921,0.9552,25
0.34523,0.19458,20
0.63159,0.55537,12
0.042226,0.9185,23
0.50679,0.088533,11
0.063003,0.80791,7
0.76674,0.56,16
0.84345,0.85435,21
0.11923,0.27876,32
0.34361,0.20214,20
0.83997,0.064221,8
0.26741,0.95249,10
0.62715,0.31922,4
0.43118,0.20837,30
0.50677,0.091292,11
0.33972,0.88721,36
0.28506,0.014625,24
0.066509,0.80428,7
0.8595,0.068287,28
0.79182,0.33465,0
0.34562,0.18994,20
0.87787,0.99078,3
0.26695,0.9524,10
0.85479,0.68552,13
0.89315,0.80728,15
0.80638,0.012354,14
0.84755,0.60954,38
0.83931,0.064578,8
0.63296,0.56301,12
0.33484,0.53822,5
0.76404,0.57233,16
0.24398,0.84331,33
0.26752,0.95223,10
0.34784,0.18751,20
0.2787,0.95541,25
0.065521,0.80345,7
0.92294,0.35554,22
0.50476,0.089196,11
0.40063,0.46464,34
0.84145,0.85471,21
0.61208,0.34302,4
0.11124,0.27576,32
0.34552,0.19592,20
0.83996,0.064671,8
0.83981,0.066074,8
0.85666,0.066767,28
0.037017,0.91833,23
0.50822,0.089594,11
0.35253,0.19243,20
0.068458,0.80181,7
0.89269,0.80834,15
0.62798,0.56293,12
0.62574,0.32248,4
0.12304,0.27918,32
0.75634,0.55876,16
0.3504,0.18823,20
0.85478,0.68648,13
0.26757,0.9528,10
0.24258,0.83758,33
0.50741,0.089664,11
0.83958,0.064936,8
0.62559,0.32075,4
0.85749,0.066058,28
0.066811,0.80057,7
0.42496,0.20302,30
0.28589,0.0094632,24
0.84299,0.85468,21
0.87689,0.9583,39
0.11607,0.2738,32
0.84925,0.60981,38
0.33816,0.89302,36
0.80684,0.78707,6
0.34549,0.20143,20
0.17793,0.59374,35
0.50429,0.088678,11
0.27863,0.95518,25
0.89439,0.80759,15
0.62501,0.55536,12
0.064793,0.80276,7
0.85677,0.068453,28
0.83974,0.065161,8
0.99414,0.73364,17
0.34304,0.19293,20
0.14751,0.37185,1
0.62274,0.32875,4
0.77009,0.55037,16
0.50512,0.094105,11
0.26636,0.95325,10
0.85478,0.68547,13
0.33992,0.19082,20
0.041222,0.91636,23
0.066482,0.8034,7
0.83984,0.06521,8
0.84325,0.8544,21
0.11883,0.2805,32
0.60206,0.31618,4
0.63478,0.56058,12
0.85705,0.068309,28
0.51041,0.0878,11
0.27877,0.95489,25
0.8942,0.80696,15
0.34785,0.20279,20
0.76701,0.55597,16
0.26706,0.95238,10
0.24362,0.83713,33
0.064794,0.8069,7
0.64961,0.32623,4
0.34932,0.18765,20
0.51139,0.087944,11
0.85605,0.069182,28
0.34238,0.90162,36
0.42851,0.20267,30
0.28544,0.015144,24
0.84391,0.60614,38
0.26662,0.95291,10
0.33511,0.19179,20
0.83908,0.064525,8
0.76056,0.56442,16
0.064912,0.8001,7
0.84227,0.85638,21
0.89366,0.80769,15
0.85436,0.68564,13
0.50371,0.088105,11
0.62157,0.32822,4
0.63877,0.55576,12
0.11421,0.28433,32
0.34377,0.19113,20
0.24529,0.84086,33
0.8784,0.99107,3
0.2674,0.95238,10
0.038105,0.91894,23
0.065755,0.8027,7
0.80825,0.012435,14
0.63387,0.3006,4
0.33398,0.53701,5
0.90832,0.34259,22
0.8403,0.065658,8
0.35223,0.19307,20
0.76779,0.55823,16
0.12102,0.27404,32
0.50748,0.092155,11
0.35092,0.20018,20
0.26649,0.9528,10
0.065419,0.80399,7
0.11696,0.28711,32
0.27887,0.95561,25
0.39991,0.46397,34
0.84182,0.85338,21
0.85764,0.068574,28
0.89256,0.80805,15
0.84,0.06588,8
0.50439,0.087634,11
0.98426,0.67156,0
0.33888,0.20031,20
0.60145,0.31707,4
0.62893,0.55405,12
0.85442,0.68628,13
0.42526,0.20687,30
0.06526,0.80413,7
0.29486,0.0091224,24
0.77578,0.56604,16
0.33432,0.19517,20
0.34151,0.88916,36
0.50603,0.093344,11
0.85028,0.60208,38
0.63417,0.3007,4
0.83977,0.064363,8
0.2668,0.95302,10
0.62349,0.329,4
0.34306,0.1862,20
0.064619,0.80533,7
0.62893,0.55702,12
0.5057,0.088359,11
0.27886,0.95529,25
0.040167,0.91771,23
0.23924,0.84174,33
0.11246,0.27914,32
0.84248,0.85433,21
0.76708,0.57115,16
0.89329,0.80693,15
0.83898,0.066174,8
0.33539,0.19444,20
0.85622,0.069787,28
0.64048,0.33068,4
0.062463,0.80371,7
0.8548,0.68571,13
0.26663,0.95251,10
0.50855,0.090278,11
0.34332,0.19637,20
0.11763,0.27834,32
0.83907,0.06518,8
0.62442,0.32131,4
0.63878,0.55155,12
0.85025,0.60992,38
0.067187,0.8036,7
0.7629,0.55835,16
0.26739,0.95251,10
0.34316,0.19775,20
0.42591,0.20353,30
0.50642,0.089725,11
0.89389,0.80769,15
0.84277,0.85429,21
0.33886,0.89654,36
0.85744,0.068351,28
0.24224,0.83894,33
0.28108,0.0090571,24
0.14202,0.37508,1
0.87837,0.95839,39
0.6411,0.31772,4
0.34299,0.19566,20
0.17952,0.59461,35
0.27883,0.95524,25
0.84088,0.06415,8
0.065441,0.80247,7
0.037988,0.91444,23
0.80507,0.78093,6
0.50992,0.088232,11
0.64669,0.30892,4
0.85446,0.68647,13
0.76501,0.5626,16
0.11551,0.27733,32
0.34726,0.2001,20
0.87805,0.99046,3
0.50589,0.088339,11
0.99265,0.73431,17
0.83992,0.064769,8
0.064429,0.81083,7
0.26678,0.95324,10
0.24144,0.83957,33
0.62164,0.32865,4
0.63594,0.55271,12
0.89261,0.80654,15
0.84211,0.85513,21
0.8079,0.015293,14
0.3454,0.19846,20
0.27883,0.95568,25
0.33624,0.53844,5
0.85924,0.068228,28
0.50803,0.085865,11
0.76388,0.55742,16
0.84113,0.064285,8
0.062907,0.80746,7
0.26747,0.95325,10
0.26738,0.95246,10
0.33835,0.19163,20
0.8471,0.60643,38
0.42751,0.21286,30
0.50223,0.086483,11
0.85536,0.68429,13
0.62128,0.32108,4
0.12389,0.28663,32
0.27624,0.0017984,24
0.040789,0.9204,23
0.34351,0.19453,20
0.33855,0.89648,36
0.06758,0.79859,7
0.83947,0.065135,8
0.40134,0.46451,34
0.76582,0.56072,16
0.84362,0.85491,21
0.89325,0.80763,15
0.50741,0.091071,11
0.62737,0.31891,4
0.11717,0.27501,32
0.26682,0.9526,10
0.62908,0.55698,12
0.92831,0.32617,22
0.34945,0.20218,20
0.063354,0.80511,7
0.27928,0.95501,25
0.61627,0.33313,4
0.858,0.068269,28
0.84097,0.066395,8
0.24555,0.84128,33
0.50947,0.087601,11
0.62385,0.3247,4
0.30586,0.52772,0
0.33838,0.19909,20
0.77401,0.56421,16
0.065128,0.80513,7
0.85553,0.68488,13
0.26697,0.95295,10
0.84264,0.8538,21
0.85798,0.066764,28
0.26643,0.95212,10
0.89334,0.8073,15
0.84028,0.066065,8
0.1249,0.27392,32
0.34193,0.19965,20
0.42706,0.2126,30
0.50616,0.091025,11
0.041844,0.91419,23
0.64057,0.33749,4
0.064878,0.8014,7
0.84476,0.60887,38
0.64042,0.54833,12
0.83957,0.065766,8
0.34959,0.18697,20
0.26642,0.95335,10
0.27912,0.95532,25
0.29077,0.026661,24
0.76586,0.55112,16
0.11853,0.27342,32
0.33332,0.9003,36
0.069514,0.8035,7
0.50557,0.088996,11
0.62526,0.31244,4
0.26712,0.95196,10
0.35119,0.20028,20
0.84229,0.8552,21
0.89263,0.80586,15
0.85435,0.68596,13
0.83946,0.064709,8
0.12783,0.27822,32
0.85965,0.068574,28
0.23908,0.84025,33
0.76262,0.56994,16
0.063891,0.80242,7
0.87882,0.99102,3
0.63817,0.54705,12
0.50376,0.083986,11
0.34617,0.19094,20
0.62149,0.32596,4
0.8403,0.064571,8
0.80428,0.010563,14
0.42607,0.20798,30
0.26685,0.95294,10
0.27874,0.95539,25
0.043415,0.91426,23
0.34196,0.19763,20
0.85244,0.6092,38
0.64073,0.31341,4
0.069592,0.80111,7
0.5106,0.09125,11
0.89315,0.80729,15
0.33435,0.53584,5
0.84267,0.85299,21
0.34379,0.19577,20
0.11912,0.27737,32
0.85753,0.067832,28
0.76485,0.56177,16
0.83908,0.064452,8
0.64032,0.54724,12
0.87771,0.95799,39
0.62855,0.30364,4
0.26666,0.95295,10
0.067689,0.79918,7
0.34282,0.18617,20
0.28661,0.01769,24
0.11599,0.27243,32
0.17529,0.5938,35
0.33791,0.90716,36
0.5058,0.08655,11
0.85394,0.68463,13
0.15035,0.37407,1
0.62625,0.31982,4
0.89185,0.80825,15
