@relation scenarioA_data_3-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35}

@data
0.57631,0.91772,19
0.57629,0.91776,19
0.57641,0.91755,19
0.16518,0.099872,4
0.2803,0.78417,11
0.68953,0.73072,20
0.69018,0.60246,27
0.16904,0.10196,4
0.43638,0.1145,7
0.28297,0.78533,11
0.28197,0.78412,11
0.54349,0.46978,34
0.5761,0.91754,19
0.68959,0.73108,20
0.28365,0.78542,11
0.15909,0.10845,4
0.14205,0.47263,17
0.57611,0.91775,19
1.015,0.0072566,0
0.61168,0.68543,21
0.69032,0.602,27
0.2815,0.78553,11
0.15488,0.10841,4
0.57637,0.91745,19
0.68935,0.731,20
0.43562,0.11461,7
0.17099,0.11384,4
0.28351,0.78567,11
0.73106,0.93143,33
0.54504,0.46873,34
0.69067,0.60248,27
0.17577,0.093593,4
0.28125,0.78583,11
0.16427,0.11067,4
0.6894,0.73102,20
0.57636,0.91749,19
0.43588,0.11451,7
0.14181,0.47233,17
0.61145,0.68624,21
0.17059,0.10425,4
0.47338,0.88098,0
0.28185,0.784,11
0.15971,0.11554,4
0.69035,0.60188,27
0.68946,0.73109,20
0.030709,0.46768,31
0.73264,0.93129,33
0.75294,0.75438,1
0.15781,0.10853,4
0.5433,0.46627,34
0.28279,0.78608,11
0.9952,0.49796,25
0.5761,0.91772,19
0.57608,0.91773,19
0.88784,0.37118,8
0.28193,0.78576,11
0.43575,0.114,7
0.16238,0.1147,4
0.69073,0.60238,27
0.15849,0.9983,29
0.468,0.81282,28
0.1418,0.47237,17
0.1719,0.10159,4
0.68948,0.73106,20
0.50621,0.48003,9
0.283,0.7854,11
0.57612,0.9175,19
0.61152,0.68609,21
0.43634,0.11473,7
0.066173,0.016033,14
0.16021,0.11712,4
0.28121,0.78571,11
0.26119,0.77418,0
0.73112,0.93115,33
0.072836,0.18088,18
0.40497,0.80201,22
0.69033,0.60231,27
0.54349,0.46912,34
0.15086,0.44347,13
0.17415,0.093059,4
0.68944,0.73118,20
0.28259,0.78454,11
0.16701,0.099124,4
0.57614,0.91747,19
0.14181,0.47221,17
0.43628,0.1142,7
0.1482,0.11251,4
0.69035,0.60193,27
0.68984,0.73094,20
0.28106,0.78448,11
0.1685,0.095615,4
0.73139,0.93253,33
0.61154,0.6863,21
0.28202,0.78411,11
0.54508,0.46713,34
0.43567,0.1142,7
0.15856,0.10654,4
0.28129,0.78447,11
0.68943,0.73085,20
0.57638,0.9177,19
0.29865,0.74686,0
0.69072,0.60175,27
0.18082,0.10405,4
0.28281,0.78571,11
0.16199,0.11015,4
0.28299,0.78509,11
0.68949,0.7309,20
0.14176,0.47278,17
0.030241,0.46877,31
0.43646,0.1147,7
0.88809,0.37012,8
0.28175,0.78613,11
0.99524,0.49825,25
0.75329,0.75428,1
0.15881,0.11144,4
0.69029,0.60196,27
0.54225,0.46792,34
0.28296,0.78492,11
0.57639,0.91786,19
0.73344,0.93055,33
0.16098,0.092522,4
0.61169,0.68618,21
0.68965,0.7313,20
0.57614,0.91742,19
0.57638,0.91744,19
0.28182,0.78435,11
0.69072,0.60239,27
0.9159,0.17589,0
0.46158,0.82161,28
0.16563,0.095143,4
0.4362,0.11413,7
0.57611,0.91769,19
0.68944,0.7306,20
0.15897,0.9953,29
0.28308,0.78469,11
0.14173,0.47276,17
0.17234,0.11019,4
0.57614,0.91772,19
0.28311,0.78477,11
0.50583,0.4804,9
0.54392,0.46836,34
0.57631,0.91774,19
0.69069,0.60249,27
0.16507,0.11232,4
0.28153,0.78462,11
0.68964,0.73116,20
0.28259,0.78463,11
0.43557,0.11454,7
0.61158,0.68572,21
0.16095,0.096765,4
0.065526,0.016112,14
0.73124,0.93234,33
0.48662,0.62992,0
0.40563,0.80463,22
0.072361,0.18107,18
0.69082,0.60186,27
0.68941,0.73081,20
0.57614,0.91774,19
0.28111,0.7848,11
0.1419,0.47265,17
0.17085,0.10713,4
0.54419,0.46871,34
0.43626,0.11448,7
0.15079,0.44379,13
0.16091,0.099572,4
0.28139,0.78406,11
0.1674,0.096179,4
0.28135,0.78515,11
0.69035,0.60253,27
0.68943,0.73103,20
0.03004,0.46781,31
0.28217,0.78375,11
0.28194,0.78595,11
0.57645,0.9175,19
0.4356,0.11472,7
0.75293,0.75485,1
0.15851,0.10299,4
0.99571,0.49894,25
0.61103,0.68575,21
0.88931,0.37041,8
0.28148,0.78358,11
0.42095,0.22955,0
0.73163,0.93067,33
0.1586,0.10428,4
0.28243,0.78411,11
0.54535,0.46728,34
0.68955,0.73081,20
0.69029,0.60179,27
0.1416,0.47309,17
0.16291,0.11421,4
0.28073,0.78625,11
0.57605,0.91742,19
0.43585,0.11451,7
0.28167,0.7856,11
0.68961,0.73095,20
0.15562,0.11213,4
0.28188,0.7839,11
0.57634,0.91745,19
0.69033,0.60177,27
0.73118,0.9319,33
0.28002,0.78407,11
0.17334,0.1057,4
0.61104,0.68629,21
0.54617,0.46838,34
0.28277,0.78538,11
0.30076,0.64999,0
0.43623,0.11471,7
0.68941,0.73089,20
0.1592,0.99839,29
0.28267,0.78335,11
0.17653,0.10847,4
0.46248,0.82119,28
0.14197,0.47249,17
0.69011,0.60192,27
0.28213,0.786,11
0.5057,0.48064,9
0.57606,0.91748,19
0.28176,0.7841,11
0.15493,0.099213,4
0.57613,0.91753,19
0.28226,0.78634,11
0.57608,0.91735,19
0.43577,0.11453,7
0.68959,0.73109,20
0.5761,0.91752,19
0.16879,0.11838,4
0.28322,0.78706,11
0.73204,0.93215,33
0.54432,0.46806,34
0.5763,0.9177,19
0.17578,0.10573,4
0.28325,0.78526,11
0.69034,0.60238,27
0.57609,0.91751,19
0.61163,0.68561,21
0.68936,0.7309,20
0.4363,0.1145,7
0.061326,0.015617,14
0.28226,0.78384,11
0.17463,0.08958,4
0.14946,0.70178,0
0.030204,0.46711,31
0.1417,0.47242,17
0.074015,0.18212,18
0.75283,0.75422,1
0.28118,0.78511,11
0.40518,0.80131,22
0.15843,0.096747,4
0.99524,0.49928,25
0.69091,0.6019,27
0.68958,0.73084,20
0.28179,0.78371,11
0.88795,0.37349,8
0.43579,0.11452,7
0.16704,0.11533,4
0.54376,0.4676,34
0.57615,0.9177,19
0.57611,0.91755,19
0.28191,0.78659,11
0.28267,0.78598,11
0.16934,0.094299,4
0.57631,0.91773,19
0.15093,0.44374,13
0.68953,0.73086,20
0.69023,0.60248,27
0.73281,0.9314,33
0.14162,0.47232,17
0.61166,0.68553,21
0.8874,0.7513,0
0.16459,0.11511,4
0.28123,0.78448,11
0.43616,0.11403,7
0.68945,0.73082,20
0.17145,0.094318,4
0.28203,0.78576,11
0.5431,0.46816,34
0.5763,0.91755,19
0.69079,0.60194,27
0.28073,0.78631,11
0.16277,0.11542,4
0.15862,0.99842,29
0.68948,0.7309,20
0.14178,0.47288,17
0.43626,0.1146,7
0.17305,0.11588,4
0.69034,0.60236,27
0.28305,0.78519,11
0.16368,0.1123,4
0.64831,0.44121,0
0.61088,0.6861,21
0.57601,0.91785,19
0.50655,0.48003,9
0.68948,0.73149,20
0.15999,0.10039,4
0.54504,0.46616,34
0.28414,0.78526,11
0.43627,0.11399,7
0.17202,0.11423,4
0.030329,0.46737,31
0.69033,0.60149,27
0.68953,0.73128,20
0.4664,0.81772,28
0.75292,0.75433,1
0.1716,0.099899,4
0.2826,0.78569,11
0.99594,0.49896,25
0.28308,0.78537,11
0.73117,0.93181,33
0.14207,0.4728,17
0.16748,0.11403,4
0.28245,0.78401,11
0.88996,0.36954,8
0.57633,0.91773,19
0.43588,0.11409,7
0.69028,0.60234,27
0.61099,0.68628,21
0.28114,0.7859,11
0.66383,0.23884,0
0.54543,0.47033,34
0.066434,0.017557,14
0.68955,0.73093,20
0.17078,0.099124,4
0.57644,0.91753,19
0.16696,0.10105,4
0.57604,0.91782,19
0.072606,0.18163,18
0.28168,0.78579,11
0.40559,0.8021,22
0.1655,0.0967,4
0.57633,0.91755,19
0.4362,0.11447,7
0.69093,0.60232,27
0.57638,0.91748,19
0.28153,0.78452,11
0.68966,0.73074,20
0.16384,0.114,4
0.5763,0.91744,19
0.73102,0.93137,33
0.54211,0.46666,34
0.14139,0.47284,17
0.15098,0.44342,13
0.28299,0.78451,11
0.61168,0.68569,21
0.15031,0.10014,4
0.69067,0.60239,27
0.43629,0.11451,7
0.15337,0.10514,4
0.93964,0.53139,0
0.68968,0.73102,20
0.28047,0.78581,11
0.57636,0.91787,19
0.16221,0.11245,4
0.5763,0.91773,19
0.15905,0.99776,29
0.28274,0.78474,11
0.15537,0.1088,4
0.57632,0.91754,19
0.28255,0.78347,11
0.69117,0.60181,27
0.73239,0.9318,33
0.28206,0.78438,11
0.54444,0.46838,34
0.57631,0.91778,19
0.43587,0.11419,7
0.029958,0.46814,31
0.6894,0.73111,20
0.16196,0.10311,4
0.75286,0.75513,1
0.14171,0.4728,17
0.28272,0.78461,11
0.50621,0.48001,9
0.99571,0.49892,25
0.61151,0.68617,21
0.17398,0.10538,4
0.43557,0.11409,7
0.28345,0.78521,11
0.69024,0.6018,27
1.0691,0.55898,0
0.57609,0.91751,19
0.88747,0.37114,8
0.16097,0.098428,4
0.68962,0.7314,20
