@relation seq-small-stc_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute class {0,1,2,3,4,5,6,7,8}

@data
0.43349,0.86145,0.67385,0.18895,0.67364,1
0.44006,0.86065,0.67411,0.18779,0.68343,1
0.43202,0.85422,0.67201,0.19176,0.68564,1
0.44339,0.86371,0.66165,0.19203,0.6751,1
0.44208,0.86033,0.66396,0.19094,0.67282,1
0.43461,0.86232,0.66524,0.19196,0.68004,1
0.43466,0.86223,0.66554,0.19872,0.68205,1
0.43493,0.86012,0.66652,0.19201,0.67375,1
0.44317,0.86126,0.66302,0.18724,0.67198,1
0.44004,0.8527,0.67126,0.20155,0.68052,1
0.44214,0.85399,0.67227,0.19838,0.6727,1
0.43301,0.8545,0.66443,0.18853,0.67427,1
0.44192,0.86091,0.66627,0.19883,0.67466,1
0.43484,0.86229,0.66294,0.19964,0.67031,1
0.4399,0.8484,0.67318,0.19687,0.67998,1
0.43343,0.85274,0.67303,0.18913,0.67468,1
0.44024,0.86207,0.6659,0.18817,0.68015,1
0.4307,0.85223,0.67545,0.19802,0.68174,1
0.43451,0.8601,0.67216,0.19856,0.67416,1
0.42875,0.85432,0.66655,0.18969,0.67515,1
0.43375,0.86016,0.67422,0.19696,0.67388,1
0.44136,0.86038,0.6715,0.19108,0.68103,1
0.44125,0.85435,0.67177,0.19846,0.68232,1
0.52246,0.83123,0.85245,0.71109,0.32346,0
0.44481,0.85965,0.67305,0.19139,0.68005,1
0.43201,0.85404,0.67531,0.19178,0.68148,1
0.43989,0.85447,0.67306,0.19689,0.68174,1
0.44141,0.85369,0.66505,0.1902,0.67398,1
0.44359,0.86122,0.67479,0.19931,0.67178,1
0.43493,0.86069,0.66585,0.19051,0.68053,1
0.44068,0.85429,0.67246,0.19816,0.6819,1
0.44122,0.86269,0.6782,0.19699,0.67356,1
0.43359,0.85335,0.6662,0.19873,0.68036,1
0.43472,0.86271,0.66548,0.19143,0.67347,1
0.44459,0.86515,0.67184,0.19033,0.68093,1
0.44154,0.86,0.67129,0.19041,0.67412,1
0.44097,0.86095,0.66326,0.19737,0.67323,1
0.44049,0.86231,0.67455,0.18661,0.67282,1
0.43155,0.85393,0.66168,0.20256,0.68192,1
0.44261,0.85186,0.66446,0.1871,0.67239,1
0.43386,0.86054,0.66451,0.20347,0.67287,1
0.43103,0.86098,0.67169,0.19858,0.67511,1
0.43461,0.85261,0.66291,0.18988,0.67024,1
0.44212,0.86416,0.67555,0.20054,0.68002,1
