@relation sty-small-stc_data_1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute class {0,1,2}

@data
0.4888,0.37065,0.76018,0.12172,1
0.49667,0.35972,0.77653,0.095246,1
0.48208,0.36998,0.77353,0.14397,1
0.48095,0.3602,0.77296,0.11237,1
0.48163,0.37018,0.74144,0.11006,1
0.50291,0.38079,0.75168,0.14354,1
0.18223,0.85324,0.023845,0.24584,2
0.48992,0.35909,0.7546,0.12044,1
0.49995,0.37531,0.75209,0.10901,1
0.49155,0.37457,0.73576,0.14005,1
0.49389,0.37988,0.76126,0.12628,1
0.50213,0.37441,0.73196,0.11948,1
0.48764,0.38788,0.75095,0.1155,1
0.1769,0.86345,0.0094675,0.25096,2
0.48287,0.35877,0.7387,0.11175,1
0.17779,0.86078,0.0087111,0.25095,2
0.37078,0.11278,0.75365,0.91279,0
0.49423,0.37299,0.75227,0.13675,1
0.48875,0.3831,0.74479,0.098453,1
0.18051,0.8573,0.015517,0.25646,2
0.52136,0.36729,0.74599,0.099505,1
0.4834,0.37025,0.76666,0.083017,1
0.51964,0.40104,0.76573,0.1078,1
0.1775,0.85338,0.01924,0.25081,2
0.4952,0.37526,0.73708,0.084453,1
0.18173,0.854,0.0096535,0.24826,2
0.4835,0.38195,0.74112,0.13417,1
0.48945,0.36754,0.76945,0.10262,1
0.48222,0.36952,0.76441,0.13836,1
0.47942,0.38272,0.74637,0.13424,1
0.49352,0.37113,0.75158,0.11323,1
0.50851,0.3692,0.73394,0.10332,1
0.48715,0.38046,0.74759,0.1202,1
0.1839,0.85528,0.018242,0.25436,2
0.48648,0.37738,0.74593,0.10317,1
0.50163,0.37574,0.7628,0.14375,1
0.48973,0.39233,0.75886,0.11762,1
0.49414,0.37451,0.75204,0.14674,1
0.4918,0.39123,0.74669,0.083284,1
0.48754,0.38433,0.77372,0.11151,1
0.18234,0.85396,0.01509,0.25696,2
0.48448,0.38346,0.75313,0.155,1
0.49595,0.36529,0.76019,0.13754,1
0.49214,0.37292,0.76772,0.13756,1
0.50672,0.385,0.74132,0.15097,1
0.48449,0.36622,0.74249,0.096248,1
0.49197,0.37005,0.74934,0.11967,1
0.48778,0.3833,0.76663,0.12058,1
0.47502,0.20632,0.30607,0.16508,0
0.48788,0.37963,0.74946,0.16547,1
0.18115,0.86119,0.011859,0.25247,2
0.52622,0.37286,0.73668,0.1156,1
0.49654,0.37311,0.7581,0.13586,1
0.79795,0.023588,0.55089,0.088117,0
0.48553,0.38894,0.74674,0.12929,1
0.47938,0.37433,0.75268,0.11481,1
0.50015,0.36846,0.74727,0.12269,1
0.49015,0.36988,0.76179,0.13079,1
0.1966,0.36339,0.011204,0.86551,0
0.48076,0.39475,0.75376,0.13545,1
0.48513,0.37157,0.73462,0.13725,1
0.18026,0.85357,0.016542,0.25066,2
0.49932,0.38178,0.74359,0.11607,1
0.18327,0.85474,0.016742,0.24845,2
0.48798,0.35933,0.73799,0.11319,1
0.48837,0.37479,0.73374,0.11718,1
0.53197,0.38354,0.74573,0.13374,1
0.63352,0.50552,0.46093,0.37467,0
0.53664,0.36491,0.74562,0.10997,1
0.49819,0.37308,0.74325,0.10995,1
0.51092,0.36834,0.73747,0.090878,1
0.4789,0.37039,0.77483,0.11779,1
0.48037,0.36964,0.76031,0.087604,1
0.50122,0.36061,0.75453,0.094307,1
0.49525,0.38853,0.74732,0.16714,1
0.48915,0.37889,0.74226,0.15496,1
0.50188,0.36606,0.76407,0.13831,1
0.49921,0.37763,0.74835,0.13749,1
0.48191,0.36482,0.74175,0.11763,1
0.48258,0.37199,0.74807,0.10644,1
0.83945,0.79095,0.92632,0.20199,0
0.18808,0.86212,0.018676,0.25606,2
0.50446,0.37596,0.75962,0.11714,1
0.496,0.3851,0.75246,0.11647,1
0.48516,0.37597,0.74406,0.10892,1
0.49824,0.36903,0.76254,0.17222,1
0.48409,0.3647,0.76123,0.11555,1
0.4838,0.36649,0.75532,0.13231,1
0.51464,0.38346,0.7407,0.10564,1
0.18272,0.85389,0.019542,0.25213,2
0.48366,0.3687,0.74488,0.13706,1
0.48084,0.36052,0.77518,0.12494,1
0.48047,0.37693,0.73954,0.13951,1
0.48527,0.39387,0.74689,0.10133,1
0.49607,0.3976,0.77402,0.12638,1
0.48642,0.37711,0.74976,0.099697,1
0.50899,0.3798,0.76128,0.076192,1
0.48608,0.36797,0.80216,0.10577,1
0.49401,0.4006,0.77619,0.099626,1
0.48794,0.36989,0.74939,0.10984,1
0.18295,0.85611,0.020032,0.25805,2
0.48423,0.3593,0.74457,0.14857,1
0.48227,0.38231,0.73705,0.14845,1
0.49843,0.36476,0.74309,0.12759,1
0.51052,0.37709,0.76805,0.11066,1
0.48693,0.36484,0.77042,0.15428,1
0.493,0.37202,0.77454,0.099808,1
0.53829,0.93625,0.45988,0.12327,0
0.18001,0.85791,0.014544,0.24885,2
0.49314,0.38708,0.74311,0.14681,1
0.49766,0.3837,0.75514,0.11007,1
0.50158,0.36537,0.75219,0.14281,1
0.18231,0.8562,0.018063,0.2484,2
0.49887,0.36098,0.73629,0.17139,1
0.5063,0.39376,0.73261,0.13718,1
0.49283,0.38923,0.73182,0.16711,1
0.4929,0.38556,0.79385,0.1283,1
0.51279,0.35862,0.75257,0.10518,1
0.4813,0.36231,0.74495,0.1089,1
0.17893,0.86117,0.013673,0.2525,2
0.48704,0.37875,0.74565,0.091941,1
0.50701,0.37976,0.74555,0.12012,1
0.49713,0.36978,0.7558,0.13782,1
0.48698,0.38068,0.73585,0.11332,1
0.703,0.50628,0.141,0.17495,0
0.49123,0.36469,0.74386,0.099866,1
0.48686,0.36692,0.78049,0.10914,1
0.18472,0.86058,0.012547,0.24665,2
0.26383,1.0035,0.73998,0.42163,0
0.49289,0.38725,0.75082,0.12501,1
0.5701,0.24914,0.61474,0.69956,0
0.48657,0.3685,0.74353,0.11678,1
0.49744,0.36879,0.74288,0.093196,1
0.48481,0.36612,0.75971,0.11951,1
